24.1Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,2024년 03월 31일,2023년 12월 31일,24.2Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,2024년 06월 30일,2023년 12월 31일,24.3Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,2024년 09월 30일,2023년 12월 31일,24.4Q,F&F,F&F Shanghai,FnF HONGKONG,F&F 베트남,빅텐츠,엔터테인먼트,세르지오,단순합계,연결분개 DR,연결분개 CR,Dr,Cr,2024년 12월 31일,2023년 12월 31일
제품평가손실충당금,"-11,249,852,834",0,0,0,0,0,0,"-11,249,852,834","-7,891,447,554",,"-19,141,300,388","-14,846,965,184",제품평가손실충당금,"-10,205,078,253",0,0,0,0,0,0,"-10,205,078,253","-8,614,006,510",,"-18,819,084,763","-14,846,965,184",제품평가손실충당금,"-10,832,968,111",0,0,0,0,0,0,"-10,832,968,111","-7,249,967,054",,"-18,082,935,165","-14,846,965,184",제품평가손실충당금,"-8,703,967,549",0,0,0,0,0,0,"-8,703,967,549","-11,906,421,529",,,,-20610389078,-14846965184
재공품,0,0,0,0,0,0,0,0,,,0,0,재공품,0,0,0,0,0,0,0,0,,,0,0,재공품,0,0,0,0,0,0,0,0,,,0,0,재공품,0,0,0,0,0,0,0,0,,,,,0,0
재공품평가손실충당금,0,0,0,0,0,0,0,0,,,0,0,재공품평가손실충당금,0,0,0,0,0,0,0,0,,,0,0,재공품평가손실충당금,0,0,0,0,0,0,0,0,,,0,0,재공품평가손실충당금,0,0,0,0,0,0,0,0,,,,,0,0
원재료,0,0,0,0,0,0,0,0,,,0,0,원재료,0,0,0,0,0,0,0,0,,,0,0,원재료,0,0,0,0,0,0,0,0,,,0,0,원재료,0,0,0,0,0,0,0,0,,,,,0,0
원재료평가손실충당금,0,0,0,0,0,0,0,0,,,0,0,원재료평가손실충당금,0,0,0,0,0,0,0,0,,,0,0,원재료평가손실충당금,0,0,0,0,0,0,0,0,,,0,0,원재료평가손실충당금,0,0,0,0,0,0,0,0,,,,,0,0
저장품,"2,158,816,422",0,0,0,0,0,0,"2,158,816,422",,,"2,158,816,422","1,986,041,818",저장품,"2,568,548,812",0,0,0,0,0,0,"2,568,548,812",,,"2,568,548,812","1,986,041,818",저장품,"2,922,232,327",0,0,0,0,0,0,"2,922,232,327",,,"2,922,232,327","1,986,041,818",저장품,"3,050,535,232",0,0,0,0,0,0,"3,050,535,232",,,,,3050535232,1986041818
부재료,"4,848,567,740",0,0,0,0,0,0,"4,848,567,740",,,"4,848,567,740","4,891,664,838",부재료,"4,705,970,846",0,0,0,0,0,0,"4,705,970,846",,,"4,705,970,846","4,891,664,838",부재료,"6,467,734,699",0,0,0,0,0,0,"6,467,734,699",,,"6,467,734,699","4,891,664,838",부재료,"6,609,529,488",0,0,0,0,0,0,"6,609,529,488",,,,,6609529488,4891664838
미착품,"968,229,202","3,189,367,622",0,0,0,0,0,"4,157,596,824",,"3,189,367,622","968,229,202","5,941,496,077",미착품,"2,020,355,479","16,017,183,081",0,0,0,0,"2,384,821,997","20,422,360,557",,"16,017,183,081","4,405,177,476","5,941,496,077",미착품,"915,639,278","21,344,851,018",0,0,0,0,"289,555,355","22,550,045,651",,"21,344,851,018","1,205,194,633","5,941,496,077",미착품,"4,314,021,231","16,328,064,777",0,0,0,0,"4,239,223,235","24,881,309,243",,"16,328,064,777",,,8553244466,5941496077
미완성프로그램_재고,0,0,0,0,0,0,0,0,,,0,0,미완성프로그램_재고,0,0,0,0,0,0,0,0,,,0,0,미완성프로그램_재고,0,0,0,0,0,0,0,0,,,0,0,미완성프로그램_재고,0,0,0,0,0,0,0,0,,,,,0,0
완성프로그램_재고,,,,,0,,0,0,,,0,0,완성프로그램_재고,,,,,0,,0,0,,,0,0,완성프로그램_재고,,,,,0,,0,0,,,0,0,완성프로그램_재고,,,,,0,,0,0,,,,,0,0
(3)반품회수자산,"353,801,839",0,0,0,0,0,0,"353,801,839",,,"353,801,839","592,076,571",(3)반품회수자산,"568,930,662",0,0,0,0,0,0,"568,930,662",,,"568,930,662","592,076,571",(3)반품회수자산,"265,556,895",0,0,0,0,0,0,"265,556,895",,,"265,556,895","592,076,571",(3)반품회수자산,"522,813,107",0,0,0,0,0,0,"522,813,107",,,,,522813107,592076571
(4)당기법인세자산,0,0,0,0,"19,621,949","212,720",0,"19,834,669",,,"19,834,669","14,224,650",(4)당기법인세자산,0,0,0,0,"5,637,229","396,140",0,"6,033,369",,,"6,033,369","14,224,650",(4)당기법인세자산,0,0,0,0,"5,672,309","396,140",0,"6,068,449",,,"396,140","14,224,650",(4)당기법인세자산,0,"2,399,964,502",0,0,"5,672,309","721,056","262,227,846","2,668,585,713",,,,"5,672,309",2662913404,14224650
파생상품자산,0,0,0,0,0,0,0,0,,,0,"80,258,474",파생상품자산,0,0,0,0,0,0,0,0,,,0,"80,258,474",파생상품자산,0,0,0,0,0,0,0,0,,,0,"80,258,474",파생상품자산,0,0,0,0,0,0,0,0,,,,,0,80258474
(6)금융보증자산(유동),0,0,0,0,0,0,0,0,,,0,0,(6)금융보증자산(유동),0,0,0,0,0,0,0,0,,,0,0,(6)금융보증자산(유동),"23,496,411,000",0,0,0,0,0,0,"23,496,411,000",,"23,496,411,000","38,151,717,501",0,(6)금융보증자산(유동),0,0,0,0,0,0,0,0,,,"38,151,717,501","38,151,717,501",0,0
Ⅱ.비유동자산,"1,095,825,778,298","60,491,408,013","20,923,112,856","9,690,477","10,824,071,320","2,954,097,963","66,182,219,135","1,257,210,378,061",,,"1,257,755,563,377","1,259,483,911,752",Ⅱ.비유동자산,"1,150,710,978,393","65,549,905,575","18,591,901,346","9,744,015","9,905,279,812","2,831,246,567","68,165,323,082","1,315,764,378,791",,,"1,303,304,930,639","1,259,483,911,752",Ⅱ.비유동자산,"1,222,861,401,035","64,668,511,033","16,570,256,075","9,565,553","9,402,699,162","2,983,057,904","64,647,396,079","1,381,142,886,841",,,"1,355,575,969,599","1,259,483,911,752",Ⅱ.비유동자산,"1,481,924,407,427","79,929,468,596","18,419,677,403","11,508,947","9,402,699,162","4,572,181,116","71,897,954,924","1,666,157,897,575",,,,,1.65E+12,1.26E+12
(1)투자자산,"713,026,678,934",0,0,0,"865,602,930",0,0,"713,892,281,864",,,"651,511,142,663","654,102,344,746",(1)투자자산,"722,576,935,953",0,0,0,"890,976,600",0,0,"723,467,912,553",,,"651,257,035,914","654,102,344,746",(1)투자자산,"699,958,172,463",0,0,0,"916,350,270",0,0,"700,874,522,733",,,"647,073,381,947","654,102,344,746",(1)투자자산,"707,433,954,095",0,0,0,"916,350,270",0,0,"708,350,304,365",,,,,6.66E+11,6.54E+11
장기금융상품,"3,000,000",0,0,0,"558,284,558",0,0,"561,284,558",,,"561,284,558","535,910,888",장기금융상품,"3,000,000",0,0,0,"583,658,228",0,0,"586,658,228",,,"586,658,228","535,910,888",장기금융상품,"3,000,000",0,0,0,"609,031,898",0,0,"612,031,898",,,"3,000,000","535,910,888",장기금융상품,"3,000,000",0,0,0,"609,031,898",0,0,"612,031,898",,,,"609,031,898",3000000,535910888
장기대여금,"10,000,000,000",0,0,0,0,0,0,"10,000,000,000",,"10,000,000,000",0,0,장기대여금,"19,029,800,000",0,0,0,0,0,0,"19,029,800,000",,"19,029,800,000",0,0,장기대여금,"25,397,000,000",0,0,0,0,0,0,"25,397,000,000",,"25,397,000,000",0,0,장기대여금,"32,035,000,000",0,0,0,0,0,0,"32,035,000,000",,"32,035,000,000",,,0,0
장기대여금대손충당금,0,0,0,0,0,0,0,0,,,0,0,장기대여금대손충당금,0,0,0,0,0,0,0,0,,,0,0,장기대여금대손충당금,0,0,0,0,0,0,0,0,,,0,0,장기대여금대손충당금,0,0,0,0,0,0,0,0,,,,,0,0
당기손익-공정가치측정금융자산,"17,518,407,665",0,0,0,"307,318,372",0,0,"17,825,726,037",,,"17,825,726,037","19,639,387,379",당기손익-공정가치측정금융자산,"17,852,919,733",0,0,0,"307,318,372",0,0,"18,160,238,105",,,"18,160,238,105","19,639,387,379",당기손익-공정가치측정금융자산,"12,288,975,468",0,0,0,"307,318,372",0,0,"12,596,293,840",,,"12,288,975,468","19,639,387,379",당기손익-공정가치측정금융자산,"13,087,916,336",0,0,0,"307,318,372",0,0,"13,395,234,708",,,,"307,318,372",13087916336,19639387379
