25.1Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,Dr,Cr,2025년 03월 31일,2024년 12월 31일,25.2Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,Dr,Cr,2025년 06월 30일,2024년 12월 31일,25.3Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,Dr,Cr,2025년 09월 30일,2024년 12월 31일,과  목, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,Dr,Cr,2025년 12월 31일,2024년 12월 31일
제품평가손실충당금,"-12,513,675,885",0,0,0,0,0,0,"-12,513,675,885","-14,124,555,882",,,,"-26,638,231,767","-20,610,389,078",제품평가손실충당금,"-9,550,009,642",0,0,0,0,0,0,"-9,550,009,642","-19,378,175,253",,,,"-28,928,184,895","-20,610,389,078",제품평가손실충당금,"-12,104,185,360",0,0,0,0,0,0,"-12,104,185,360","-20,039,132,144",,,,"-32,143,317,504","-20,610,389,078",제품평가손실충당금,"-12,104,185,360",0,0,0,0,0,0,"-12,104,185,360","-20,039,132,144",,,,"-32,143,317,504","-20,610,389,078"
재공품,0,0,0,0,0,0,0,0,,,,,0,0,재공품,0,0,0,0,0,0,0,0,,,,,0,0,재공품,0,0,0,0,0,0,0,0,,,,,0,0,재공품,0,0,0,0,0,0,0,0,,,,,0,0
재공품평가손실충당금,0,0,0,0,0,0,0,0,,,,,0,0,재공품평가손실충당금,0,0,0,0,0,0,0,0,,,,,0,0,재공품평가손실충당금,0,0,0,0,0,0,0,0,,,,,0,0,재공품평가손실충당금,0,0,0,0,0,0,0,0,,,,,0,0
원재료,0,0,0,0,0,0,0,0,,,,,0,0,원재료,0,0,0,0,0,0,0,0,,,,,0,0,원재료,0,0,0,0,0,0,0,0,,,,,0,0,원재료,0,0,0,0,0,0,0,0,,,,,0,0
원재료평가손실충당금,0,0,0,0,0,0,0,0,,,,,0,0,원재료평가손실충당금,0,0,0,0,0,0,0,0,,,,,0,0,원재료평가손실충당금,0,0,0,0,0,0,0,0,,,,,0,0,원재료평가손실충당금,0,0,0,0,0,0,0,0,,,,,0,0
저장품,"2,766,075,137",0,0,0,0,0,0,"2,766,075,137",,,,,"2,766,075,137","3,050,535,232",저장품,"2,743,105,568",0,0,0,0,0,0,"2,743,105,568",,,,,"2,743,105,568","3,050,535,232",저장품,"2,983,804,825",0,0,0,0,0,0,"2,983,804,825",,,,,"2,983,804,825","3,050,535,232",저장품,"2,983,804,825",0,0,0,0,0,0,"2,983,804,825",,,,,"2,983,804,825","3,050,535,232"
부재료,"5,838,002,849",0,0,0,0,0,0,"5,838,002,849",,,,,"5,838,002,849","6,609,529,488",부재료,"5,934,112,974",0,0,0,0,0,0,"5,934,112,974",,,,,"5,934,112,974","6,609,529,488",부재료,"6,119,268,612",0,0,0,0,0,0,"6,119,268,612",,,,,"6,119,268,612","6,609,529,488",부재료,"6,119,268,612",0,0,0,0,0,0,"6,119,268,612",,,,,"6,119,268,612","6,609,529,488"
미착품,"4,336,134,896","7,209,534,422",0,0,0,0,"612,065,259","12,157,734,577",,"7,209,534,422",,,"4,948,200,155","8,553,244,466",미착품,"2,837,738,121","18,646,336,341",0,0,0,0,"1,497,640,643","22,981,715,105",,"18,646,336,341",,,"4,335,378,764","8,553,244,466",미착품,"2,943,236,095","29,393,439,299",0,0,0,0,"1,523,434","32,338,198,828",,"29,393,439,299",,,"2,944,759,529","8,553,244,466",미착품,"2,943,236,095","29,393,439,299",0,0,0,0,"1,523,434","32,338,198,828",,"29,393,439,299",,,"2,944,759,529","8,553,244,466"
미완성프로그램_재고,0,0,0,0,0,0,0,0,,,,,0,0,미완성프로그램_재고,0,0,0,0,0,0,0,0,,,,,0,0,미완성프로그램_재고,0,0,0,0,0,0,0,0,,,,,0,0,미완성프로그램_재고,0,0,0,0,0,0,0,0,,,,,0,0
완성프로그램_재고,,,,,0,,0,0,,,,,0,0,완성프로그램_재고,,,,,0,,0,0,,,,,0,0,완성프로그램_재고,,,,,0,,0,0,,,,,0,0,완성프로그램_재고,,,,,0,,0,0,,,,,0,0
